;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_average_c=_v=0_d=0.5_a=1
1-0-0-0-0;0.44737;0.44737;nan
0-1-0-0-0;0.44639;0.44639;nan
0-0-1-0-0;0.44924;0.44924;nan
0-0-0-1-0;0.44623;0.44623;nan
0-0-0-0-1;0.44959;0.44959;nan
1-2-0-0-0;0.44125;0.44125;0.45151
1-0-2-0-0;0.44115;0.44115;0.45417
1-0-0-2-0;0.43940;0.43940;0.45324
1-0-0-0-2;0.44171;0.44171;0.45483
0-1-2-0-0;0.44051;0.44051;0.45349
0-1-0-2-0;0.43986;0.43986;0.45207
0-1-0-0-2;0.44128;0.44128;0.45451
0-0-1-2-0;0.44057;0.44057;0.45353
0-0-1-0-2;0.44382;0.44382;0.45416
0-0-0-1-2;0.44130;0.44130;0.45381
1-2-3-0-0;0.43626;0.44754;0.45624
1-2-0-3-0;0.43527;0.44736;0.45496
1-2-0-0-3;0.43732;0.44833;0.45682
1-0-2-3-0;0.43559;0.44775;0.45618
1-0-2-0-3;0.43800;0.44987;0.45730
1-0-0-2-3;0.43597;0.44855;0.45624
0-1-2-3-0;0.43558;0.44758;0.45592
0-1-2-0-3;0.43755;0.44906;0.45656
0-1-0-2-3;0.43601;0.44849;0.45596
0-0-1-2-3;0.43718;0.44888;0.45563
1-2-3-4-0;0.43259;0.44395;0.45159
1-2-3-0-4;0.43457;0.44536;0.45263
1-2-0-3-4;0.43322;0.44481;0.45149
1-0-2-3-4;0.43342;0.44551;0.45183
0-1-2-3-4;0.43384;0.44540;0.45208
1-2-3-4-5;0.44202;0.44899;0.45399
